,,Quiz1,Quiz1.1,Mid Sem,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Part1 Total,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Part2 Total,CBT Total,Matched ID,Match Status,Folder Name
,,,,0,2,7.5,0,0,0,0,0,9.5,2,2,0,0,1,1,0,6,15.5,2023A7PS0526P,Green,1196
,,,,11.5,0,2,1,1,0,1,0,5,3,3,0,0,2,2,0,10,15,2023A7PS0545P,Green,1141
,,,,4.5,1,2,1,1,1,6,1,13,0,0,0,2,0,0,0,2,15,2023A7PS0634P,Green,1158
,,,,6.5,2,2.5,1.5,1.5,1.5,0,0,9,2,2,0,0,1,1,0,6,15,2023A7PS0559P,Yellow,1296
,,,,15.5,2,3,3,2,1,4,0,15,0,0,0,0,0,0,0,0,15,2023A7PS0646P,Green,1216
,,,,12,1,0,0,0,0,0,0,1,3.5,3,1,0,4,2,0.5,14,15,2023A7PS0576P,Green,1231
,,,,19.5,2,3,0,1,1,5,3,15,0,0,0,0,0,0,0,0,15,2023A7PS0579P,Green,1265
,,,,8,2,4,0.5,0,0,0,0,6.5,2,0,0,4,2,0,0,8,14.5,2023A7PS0542P,Green,1120
,,,,25,0.5,7,2,2.5,0,2,0,14,0,0,0,0,0,0,0,0,14,2023A7PS0587P,Green,1042
,,,,19,0,5,1,1,2,1,,10,0,0,0,4,0,0,0,4,14,2023A7PS0660P,Green,1124
,,,,1,0,2,0,4,0,5,2,13,1,0,0,0,0,0,0,1,14,2023A7PS0506P,Green,1137
,,,,11.5,2,2,0,1,0,0,1,6,0,2,0,0,4,2,0,8,14,2022B4A70837P,Green,1253
,,,,0,0,0,0,0,0,0,0,0,4,3,1,1,1,2,1,13,13,2023A7PS0603P,Green,1185
,,,,12.5,,,,,,,,0,5,4,1,0,1,1,1,13,13,2023A7PS0619P,Green,1206
,,,,3,0,0,0,0,0,0,0,0,2.5,1,0,4,3,2,0,12.5,12.5,2023A7PS0647P,Green,1083
